Speaker	Task	Label	TokNum	T	R	AAAmeta
BM	base	s	152	-0.2184	53.1573	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	-0.2581	51.3719	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	S	6	0.5757	72.7277	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.536	72.3474	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.4963	72.2017	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.4566	72.0165	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.4169	71.935	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.3772	71.5325	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.3375	71.2584	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.2978	70.9448	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.2581	70.4558	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.2184	69.6483	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.1787	68.6803	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.139	67.7122	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.0993	67.6505	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.0596	67.3369	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	0.0199	67.0603	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	-0.0199	63.9192	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	-0.0596	61.3114	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	-0.0993	58.6148	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	-0.139	58.1061	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	-0.1787	56.8862	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	-0.2184	54.3871	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	6	-0.2581	53.1425	Tongue S 5/24/2017 6:43:32 PM 6
BM	base	S	40	0.6154	75.3996	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.5757	74.7156	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.536	74.3452	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.4963	74.0612	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.4566	73.7179	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.4169	73.5871	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.3772	73.2339	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.3375	71.6634	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.2978	69.9051	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.2581	68.1691	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.2184	67.7271	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.1787	67.2628	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.139	66.9393	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.0993	66.28	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.0596	65.5515	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	0.0199	64.4748	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	-0.0199	63.4747	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	-0.0596	62.5067	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	-0.0993	61.788	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	-0.139	61.2621	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	-0.1787	60.7805	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	-0.2184	59.6742	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	-0.2581	58.0221	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	40	-0.2978	57.1726	Tongue S 5/24/2017 6:46:36 PM 40
BM	base	S	54	0.8139	74.7428	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.7742	74.5699	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.7345	74.518	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.6948	74.1773	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.6551	73.8612	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.6154	73.4735	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.5757	73.3846	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.536	73.0487	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.4963	72.6264	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.4566	72.3252	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.4169	72.2832	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.3772	71.13	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.3375	70.2607	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.2978	68.9223	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.2581	68.0283	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.2184	67.6727	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.1787	67.4949	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.139	67.6826	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.0993	67.1838	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.0596	65.9565	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	0.0199	64.1093	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	-0.0199	61.8053	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	-0.0596	60.1483	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	54	-0.0993	57.869	Tongue S 5/24/2017 6:47:51 PM 54
BM	base	S	74	0.6551	75.1231	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.6154	74.8736	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.5757	74.2118	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.536	73.6315	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.4963	73.2018	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.4566	73.1574	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.4169	72.9821	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.3772	71.9251	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.3375	70.5324	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.2978	69.3026	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.2581	68.7815	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.2184	68.5469	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.1787	68.3568	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.139	68.1049	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.0993	67.6974	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.0596	66.6701	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	0.0199	65.4626	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	-0.0199	64.3316	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	-0.0596	63.2425	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	-0.0993	62.2721	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	-0.139	61.9412	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	-0.1787	60.0026	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	-0.2184	55.7601	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	74	-0.2581	46.9961	Tongue S 5/24/2017 6:49:37 PM 74
BM	base	S	93	0.7345	73.6809	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.6948	73.5056	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.6551	73.3352	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.6154	73.434	Tongue S 5/24/2017 6:51:26 PM 93
BM	base	S	93	0.5757	73.0413	Tongue S 5/24/2017 6:51:26 PM 93
